Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,110494484,4000,1,25481898,30338622,29496011,25177953
BatchQueryBenchmark,112492257,4000,1,25953998,29097960,30789101,26651198
BatchQueryBenchmark,119346294,4000,1,24436538,26503842,26625458,41780456
BatchQueryBenchmark,111962871,4000,1,28536630,31094548,27448573,24883120
BatchQueryBenchmark,107754949,4000,1,28170589,26638973,26188123,26757264
BatchQueryBenchmark,102415025,4000,1,24834950,26634405,26340307,24605363
BatchQueryBenchmark,107416809,4000,1,24105321,27597340,26296595,29417553
BatchQueryBenchmark,108299974,4000,1,25658776,27986926,26919396,27734876
BatchQueryBenchmark,104515481,4000,1,25152052,28947938,26113333,24302158
BatchQueryBenchmark,112064600,4000,1,24087988,27192966,31723550,29060096
BatchQueryBenchmark,109357877,4000,1,28149629,28635866,28000201,24572181
BatchQueryBenchmark,122126357,4000,1,24487131,26625737,28572114,42441375
BatchQueryBenchmark,105780649,4000,1,26737104,27307637,27294082,24441826
BatchQueryBenchmark,102244099,4000,1,24259216,26602864,26918512,24463507
BatchQueryBenchmark,102777212,4000,1,24622734,26743456,26001953,25409069
BatchQueryBenchmark,108483007,4000,1,25104080,26699685,27930929,28748313
BatchQueryBenchmark,110025131,4000,1,26500753,32775820,25840663,24907895
BatchQueryBenchmark,103071672,4000,1,24957197,27038005,26528656,24547814
BatchQueryBenchmark,110929247,4000,1,24767203,26707248,31124773,28330023
BatchQueryBenchmark,114921888,4000,1,27933304,30302219,29253264,27433101
BatchQueryBenchmark,118444404,4000,1,25803953,29084507,26251407,37304537
BatchQueryBenchmark,102053024,4000,1,24490976,26548520,26324323,24689205
BatchQueryBenchmark,104409747,4000,1,24659350,28858275,26188389,24703733
BatchQueryBenchmark,109093857,4000,1,27487361,28421290,27275726,25909480
BatchQueryBenchmark,107268044,4000,1,26756589,26709260,26701746,27100449
BatchQueryBenchmark,105316637,4000,1,27116990,27601964,26090837,24506846
BatchQueryBenchmark,100631845,4000,1,24013886,26210721,25940087,24467151
BatchQueryBenchmark,102922184,4000,1,24215182,25748549,25543868,27414585
BatchQueryBenchmark,105458670,4000,1,24903444,26576673,26371360,27607193
BatchQueryBenchmark,105692883,4000,1,27146946,27043763,27185936,24316238
BatchQueryBenchmark,102259120,4000,1,26848908,25575204,25629366,24205642
BatchQueryBenchmark,101863903,4000,1,24588857,27184052,25763034,24327960
BatchQueryBenchmark,105723576,4000,1,24381540,26393118,29582442,25366476
BatchQueryBenchmark,102432363,4000,1,24908993,26737651,26400322,24385397
BatchQueryBenchmark,117147176,4000,1,24405253,27640153,26888562,38213208
BatchQueryBenchmark,103486367,4000,1,23910311,25588940,28514142,25472974
BatchQueryBenchmark,100885610,4000,1,24162652,26064256,26385034,24273668
BatchQueryBenchmark,109224130,4000,1,26579115,28952840,27192087,26500088
BatchQueryBenchmark,104224039,4000,1,26859608,26025393,25791076,25547962
BatchQueryBenchmark,105197488,4000,1,24489639,25799300,28348652,26559897
BatchQueryBenchmark,134256292,4000,1,25219249,26831814,54653583,27551646
BatchQueryBenchmark,112632774,4000,1,26397294,31079120,29747788,25408572
BatchQueryBenchmark,105436774,4000,1,24863706,26113586,27713578,26745904
BatchQueryBenchmark,113278708,4000,1,25451251,32061831,28900460,26865166
BatchQueryBenchmark,109845630,4000,1,28213610,28047419,27484481,26100120
BatchQueryBenchmark,133201707,4000,1,39150021,30464383,32632315,30954988
BatchQueryBenchmark,106048644,4000,1,26377087,26866980,27211952,25592625
BatchQueryBenchmark,105249348,4000,1,25525260,25719560,29160291,24844237
BatchQueryBenchmark,101640912,4000,1,24008391,25836627,26889981,24905913
BatchQueryBenchmark,120197561,4000,1,24329418,25766847,42324133,27777163
BatchQueryBenchmark,118993617,4000,1,24678689,31727946,36915994,25670988
BatchQueryBenchmark,110233134,4000,1,26273021,27268516,31022181,25669416
BatchQueryBenchmark,119171099,4000,1,31461519,28917669,31271005,27520906
BatchQueryBenchmark,111680781,4000,1,25404442,27107485,28508787,30660067
BatchQueryBenchmark,113159838,4000,1,25847217,27625241,27669072,32018308
BatchQueryBenchmark,108995727,4000,1,26482110,27414398,27506018,27593201
BatchQueryBenchmark,108622104,4000,1,27199677,28122906,27195427,26104094
BatchQueryBenchmark,111618947,4000,1,26325016,26502486,28390003,30401442
BatchQueryBenchmark,111902054,4000,1,26638750,28816889,28935270,27511145
BatchQueryBenchmark,112203215,4000,1,27607265,30282630,28229554,26083766
BatchQueryBenchmark,112204769,4000,1,25593512,26794922,28810507,31005828
BatchQueryBenchmark,106433823,4000,1,26853520,27453368,27003660,25123275
BatchQueryBenchmark,113087954,4000,1,27094429,27586275,32452444,25954806
BatchQueryBenchmark,115200321,4000,1,26478592,28931483,32741993,27048253
BatchQueryBenchmark,116449759,4000,1,26385949,27048183,31299285,31716342
BatchQueryBenchmark,117431459,4000,1,29652243,30310010,31269366,26199840
BatchQueryBenchmark,109025435,4000,1,25525523,27159659,26418788,29921465
BatchQueryBenchmark,109044321,4000,1,31783785,26705383,26100344,24454809
BatchQueryBenchmark,102085914,4000,1,24788580,25745844,26955077,24596413
BatchQueryBenchmark,105388959,4000,1,25605302,26504918,26157391,27121348
BatchQueryBenchmark,108988827,4000,1,25224372,29517252,28835341,25411862
BatchQueryBenchmark,109984262,4000,1,27626709,25991161,31376426,24989966
BatchQueryBenchmark,123423024,4000,1,26152993,29818333,36237804,31213894
BatchQueryBenchmark,113024176,4000,1,26915433,28264458,30151113,27693172
BatchQueryBenchmark,101799893,4000,1,25008177,25826022,26581980,24383714
BatchQueryBenchmark,100405806,4000,1,24141183,25867318,25879391,24517914
BatchQueryBenchmark,116648822,4000,1,37333373,26377169,27699512,25238768
BatchQueryBenchmark,113766832,4000,1,30308113,28110378,30357245,24991096
BatchQueryBenchmark,104714925,4000,1,24459315,25913665,26002189,28339756
BatchQueryBenchmark,103233074,4000,1,24996987,26567333,26436589,25232165
BatchQueryBenchmark,113317004,4000,1,24184303,25662797,39131073,24338831
BatchQueryBenchmark,108446518,4000,1,24255956,25833576,29658703,28698283
BatchQueryBenchmark,108659635,4000,1,27964636,26450946,27779070,26464983
BatchQueryBenchmark,103364201,4000,1,24296811,27822760,26332283,24912347
BatchQueryBenchmark,101297600,4000,1,24346873,25834305,26982595,24133827
BatchQueryBenchmark,101621783,4000,1,23964080,26929024,26292399,24436280
BatchQueryBenchmark,111747510,4000,1,24363064,30952000,29268754,27163692
BatchQueryBenchmark,102511301,4000,1,25004068,27112246,25996698,24398289
BatchQueryBenchmark,107021835,4000,1,27217072,28341716,26579113,24883934
BatchQueryBenchmark,101741787,4000,1,25003026,26550138,25817574,24371049
BatchQueryBenchmark,115234566,4000,1,37294547,25843362,25753464,26343193
BatchQueryBenchmark,108065881,4000,1,27117476,28304217,27657873,24986315
BatchQueryBenchmark,102623767,4000,1,24686967,27743192,25830255,24363353
BatchQueryBenchmark,100337734,4000,1,24542877,25745678,25649679,24399500
BatchQueryBenchmark,117063115,4000,1,23987482,25717505,39931759,27426369
BatchQueryBenchmark,108147053,4000,1,25249613,27725266,28458072,26714102
BatchQueryBenchmark,102158134,4000,1,24138152,25815968,25859470,26344544
BatchQueryBenchmark,111664817,4000,1,26725954,30332304,28306779,26299780
BatchQueryBenchmark,104044349,4000,1,25648266,27698537,26368447,24329099
BatchQueryBenchmark,116837844,4000,1,39132079,25774962,27114648,24816155
,
Total Time Average (ms),"=AVERAGE(B2,B101)/1000000"
Create Time Average (ms),"=AVERAGE(E2,E101)/1000000"
Read Time Average (ms),"=AVERAGE(F2,F101)/1000000"
Update Time Average (ms),"=AVERAGE(G2,G101)/1000000"
Delete Time Average (ms),"=AVERAGE(H2,H101)/1000000"
